Run: train_ngsim_40m_oneshot_bezier_80ep_k12
epoch	train_loss	ADE	FDE
0	195.682566	10.4670	20.2025
1	125.442070	5.0537	10.1041
2	158.177336	10.4556	20.1795
3	90.799947	10.0378	19.3915
4	159.014822	10.3854	20.0417
5	136.267866	3.3781	7.1919
6	85.057251	10.2917	19.8484
7	168.907780	4.0287	8.1088
8	88.307827	10.5087	20.2312
9	170.949177	10.4399	20.1142
10	170.513089	10.5338	20.2762
11	85.940888	3.1050	6.5810
12	26.277985	2.8517	6.2086
13	24.482951	2.8351	6.1892
14	23.436608	2.7845	6.0991
15	23.204080	2.7867	6.1076
16	23.136708	2.7571	6.0740
17	48.811042	2.7773	6.0795
18	23.036403	2.8146	6.1585
19	23.132969	2.8238	6.1806
20	21.496774	2.6937	5.9458
21	20.613413	2.7014	5.9615
22	20.197426	2.8380	6.1878
23	19.210722	2.5814	5.7388
24	16.979100	2.3900	5.4308
25	16.315381	2.3402	5.3182
26	16.196965	2.3742	5.3808
27	15.954689	2.4963	5.5435
28	15.751555	2.3648	5.3692
29	15.526524	2.3837	5.4153
30	14.866713	2.3080	5.2674
31	14.798263	2.3783	5.3782
32	14.773000	2.3417	5.3167
33	14.770973	2.3682	5.3631
34	14.720942	2.3143	5.2680
35	14.684017	2.3631	5.3517
36	14.667215	2.3872	5.3713
37	14.655394	2.3538	5.3254
38	14.622387	2.3513	5.3279
39	14.599236	2.3349	5.3003
40	14.589220	2.3092	5.2560
41	14.574771	2.3645	5.3268
42	14.572882	2.3351	5.3059
43	14.550374	2.3404	5.3216
44	14.518637	2.2931	5.2303
45	14.442907	2.3365	5.2996
46	14.453768	2.3166	5.2619
47	14.437180	2.3331	5.2889
48	14.437112	2.3545	5.3181
49	14.412607	2.3531	5.3236
50	14.430206	2.3232	5.2764
51	14.433919	2.3581	5.3255
52	14.414465	2.3455	5.3147
53	14.423702	2.3380	5.2985
54	14.416521	2.3363	5.3005
55	14.411494	2.3354	5.2962
56	14.406991	2.3250	5.2776
57	14.397129	2.3221	5.2756
58	14.406551	2.3234	5.2780
59	14.392370	2.3161	5.2715
60	14.398704	2.3308	5.2894
61	14.387708	2.3255	5.2815
62	14.388898	2.3130	5.2625
63	14.388702	2.3242	5.2766
64	14.379035	2.3372	5.2927
65	14.383833	2.3306	5.2869
66	14.384948	2.3124	5.2565
67	14.368800	2.3257	5.2737
68	14.370152	2.3356	5.2936
69	14.364087	2.3418	5.2986
70	14.348398	2.3285	5.2832
71	14.367983	2.3405	5.3005
72	14.362463	2.3643	5.3363
73	14.357233	2.3285	5.2882
74	14.359100	2.3255	5.2828
75	14.351311	2.3503	5.3203
76	14.355676	2.3269	5.2824
77	14.347948	2.3301	5.2870
78	14.336573	2.3205	5.2688
79	14.330552	2.3391	5.3031

Best epoch: 44, ADE: 2.2931, FDE: 5.2303
