Run: train_ngsim_20m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k16
epoch	train_loss	ADE	FDE
0	63.548563	2.0052	4.5856
1	14.306167	1.9937	4.5508
2	13.395912	2.1340	4.8173
3	13.098450	2.0495	4.6019
4	12.382898	2.3081	5.0272
5	12.321188	2.1054	4.7770
6	12.117863	2.0749	4.7100
7	12.149501	2.2244	4.9270
8	12.046633	2.2766	5.0494
9	11.919410	1.9949	4.5759
10	12.058264	2.2765	5.0369
11	11.879533	1.9788	4.4859
12	11.666348	1.9791	4.5607
13	11.733715	2.1773	4.8812
14	11.713500	2.1140	4.7768
15	11.651477	1.9743	4.5275
16	11.770718	2.0495	4.6601
17	11.739138	1.9648	4.5115
18	11.717365	2.0252	4.6152
19	11.745966	1.9120	4.4336
20	11.737492	1.9949	4.5897
21	11.675066	1.9613	4.5460
22	11.558314	1.9196	4.4667
23	11.497511	1.9057	4.4089
24	11.588605	1.9847	4.4622
25	11.562509	1.9755	4.5640
26	11.451331	2.0958	4.7306
27	11.551457	2.1121	4.7587
28	11.432117	2.0416	4.6435
29	11.564619	1.9618	4.4793
30	11.450697	1.9744	4.4983
31	11.491472	1.9348	4.4952
32	11.540239	1.9310	4.4748
33	11.491888	2.0716	4.7581
34	11.634580	2.0145	4.6233
35	11.463148	2.0077	4.5585
36	11.520994	1.9766	4.5744
37	11.555106	2.0228	4.6552
38	11.381665	1.9376	4.4270
39	11.418206	1.9606	4.5349
40	10.610587	1.9200	4.4494
41	10.515075	1.9211	4.4424
42	10.443488	1.8870	4.3785
43	10.381842	1.9294	4.4688
44	10.349411	1.8817	4.3755
45	10.309679	1.8854	4.3850
46	10.261986	1.8820	4.3766
47	10.270079	1.8735	4.3435
48	10.263051	1.8948	4.3875
49	10.207912	1.9295	4.4609
50	10.171940	1.8923	4.3997
51	10.173157	1.9307	4.4704
52	10.178829	1.8894	4.3763
53	10.137756	1.8844	4.3889
54	10.139622	1.8791	4.3628
55	10.141722	1.8994	4.4068
56	10.132662	1.9026	4.4168
57	10.114886	1.8726	4.3509
58	10.095077	1.8742	4.3501
59	10.095152	1.8899	4.3672
60	9.943286	1.8786	4.3569
61	9.933676	1.8662	4.3332
62	9.915469	1.8599	4.3191
63	9.932540	1.8682	4.3346
64	9.931151	1.8615	4.3244
65	9.919642	1.8778	4.3615
66	9.918652	1.8673	4.3306
67	9.907320	1.8602	4.3193
68	9.897727	1.8651	4.3279
69	9.902910	1.8656	4.3377
70	9.881157	1.8723	4.3465
71	9.879528	1.8689	4.3333
72	9.883147	1.8724	4.3415
73	9.886100	1.8635	4.3331
74	9.869682	1.8739	4.3430
75	9.879494	1.8628	4.3275
76	9.872355	1.8624	4.3335
77	9.877116	1.8673	4.3370
78	9.873313	1.8693	4.3339
79	9.869394	1.8652	4.3302

Best epoch: 62, ADE: 1.8599, FDE: 4.3191
