Run: train_ngsim_30m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k16
epoch	train_loss	ADE	FDE
0	65.640741	2.3318	5.1807
1	14.573659	2.0879	4.7252
2	13.639649	1.9569	4.4562
3	12.981699	2.1499	4.7992
4	12.328850	1.9821	4.4575
5	12.047653	2.0933	4.7078
6	11.963235	1.9679	4.4917
7	11.791514	2.1341	4.7691
8	11.715046	1.9090	4.3491
9	11.633086	1.8821	4.3013
10	11.377680	1.8765	4.3180
11	11.405193	1.8970	4.3852
12	11.310392	1.9641	4.4905
13	11.350608	2.1490	4.8134
14	11.280799	1.8630	4.3206
15	11.264396	2.0114	4.5414
16	11.312547	2.2607	4.9776
17	11.266044	2.0275	4.6271
18	11.291674	2.1512	4.8070
19	11.236053	1.9128	4.4129
20	11.198358	1.8956	4.3834
21	11.234151	1.8869	4.3864
22	11.212407	1.9769	4.4866
23	11.171430	1.9464	4.3823
24	11.207821	1.9857	4.6011
25	11.263266	1.9598	4.4808
26	11.235231	1.9654	4.4007
27	11.236289	1.9446	4.3766
28	11.234292	1.8671	4.3351
29	11.160852	1.8991	4.3643
30	11.197915	1.9208	4.4176
31	11.129371	1.9325	4.4353
32	11.199300	1.9624	4.5074
33	11.064984	1.8925	4.3460
34	11.135521	2.1045	4.7282
35	11.110053	1.8949	4.3215
36	11.150613	1.9023	4.4013
37	11.160177	1.9485	4.4041
38	11.193111	1.8932	4.3232
39	11.139607	1.9459	4.4782
40	10.273647	1.9050	4.3718
41	10.151929	1.8551	4.2666
42	10.106073	1.8816	4.3201
43	10.074672	1.8724	4.2977
44	10.040605	1.8550	4.2560
45	10.008723	1.8588	4.2599
46	10.020772	1.8553	4.2661
47	9.967645	1.8618	4.2754
48	9.950499	1.8308	4.1987
49	9.892297	1.8524	4.2577
50	9.874716	1.8403	4.2257
51	9.843405	1.8327	4.2161
52	9.852306	1.8194	4.1874
53	9.818385	1.8467	4.2500
54	9.814237	1.8401	4.2410
55	9.787763	1.8562	4.2636
56	9.791062	1.8333	4.2294
57	9.751119	1.8393	4.2179
58	9.750742	1.8674	4.2661
59	9.749792	1.8329	4.2025
60	9.587721	1.8187	4.1749
61	9.566768	1.8214	4.1857
62	9.560095	1.8155	4.1781
63	9.557505	1.8187	4.1735
64	9.552002	1.8188	4.1824
65	9.542120	1.8202	4.1828
66	9.528704	1.8180	4.1837
67	9.519265	1.8211	4.1814
68	9.517448	1.8195	4.1792
69	9.519033	1.8209	4.1842
70	9.505886	1.8114	4.1685
71	9.493811	1.8192	4.1753
72	9.502315	1.8131	4.1632
73	9.491712	1.8151	4.1733
74	9.484798	1.8208	4.1798
75	9.485708	1.8161	4.1710
76	9.498255	1.8187	4.1760
77	9.479595	1.8173	4.1756
78	9.476604	1.8190	4.1773
79	9.481713	1.8150	4.1653

Best epoch: 70, ADE: 1.8114, FDE: 4.1685
