Run: train_ngsim_40m_oneshot_bezier_80ep_k8
epoch	train_loss	ADE	FDE
0	149.011226	4.6664	9.3902
1	75.285180	5.0271	9.9897
2	70.184430	3.8682	7.8698
3	67.596307	4.2518	8.5826
4	67.195129	4.9835	9.8730
5	67.768274	5.1367	10.0458
6	38.217230	2.4231	5.4532
7	21.534649	2.2969	5.2060
8	100.859282	10.8915	20.9177
9	171.287044	10.4401	20.1097
10	129.755578	5.7654	11.3628
11	76.849698	4.2613	8.5360
12	61.225408	4.5254	9.0425
13	52.921963	3.9117	7.9142
14	34.900457	2.7225	5.9236
15	26.952800	2.6514	5.8827
16	23.558060	2.6208	5.8337
17	21.401915	2.4749	5.5878
18	19.911624	2.5337	5.6540
19	19.463147	2.3114	5.2971
20	18.820430	2.4374	5.5064
21	18.597127	2.3563	5.3488
22	18.423435	2.2640	5.2152
23	18.856428	2.4706	5.5517
24	18.846681	2.2836	5.2579
25	18.971436	2.7168	5.8127
26	18.770794	2.4191	5.4458
27	18.790903	2.9595	6.2058
28	19.455599	3.1803	6.5861
29	19.608730	3.2273	6.7137
30	16.020425	2.3712	5.3665
31	15.430172	2.1668	5.0429
32	15.269213	2.1428	4.9873
33	15.108393	2.1871	5.0776
34	14.985680	2.1348	4.9596
35	14.942713	2.1689	5.0427
36	14.882441	2.2092	5.1019
37	14.769514	2.3981	5.3972
38	14.805846	2.1844	5.0541
39	14.782284	2.1123	4.9294
40	14.726131	2.1318	4.9519
41	14.720711	2.1645	5.0177
42	14.713011	2.1132	4.9379
43	14.695865	2.2218	5.1063
44	14.696350	2.1182	4.9438
45	14.338841	2.1576	5.0053
46	14.307596	2.1522	4.9932
47	14.309614	2.1236	4.9476
48	14.284230	2.1452	4.9842
49	14.271246	2.1144	4.9294
50	14.254181	2.1476	4.9875
51	14.243047	2.1300	4.9589
52	14.238422	2.1742	5.0316
53	14.220213	2.1208	4.9417
54	14.212310	2.1218	4.9451
55	14.197708	2.1137	4.9323
56	14.195547	2.1407	4.9770
57	14.180356	2.1299	4.9572
58	14.170497	2.1113	4.9260
59	14.162569	2.1353	4.9651
60	14.154134	2.1204	4.9447
61	14.144619	2.1160	4.9357
62	14.126807	2.1392	4.9748
63	14.120111	2.1254	4.9533
64	14.103165	2.0934	4.8939
65	14.107636	2.1515	4.9976
66	14.103484	2.0979	4.9027
67	14.093243	2.1236	4.9496
68	14.081739	2.1255	4.9553
69	14.074140	2.1495	4.9908
70	14.072298	2.1242	4.9475
71	14.057028	2.1483	4.9887
72	14.061661	2.1402	4.9786
73	14.053156	2.1325	4.9646
74	14.050569	2.1120	4.9305
75	14.029201	2.1009	4.9068
76	14.018770	2.1171	4.9376
77	14.013550	2.1240	4.9505
78	14.020615	2.1323	4.9654
79	14.007056	2.1137	4.9327

Best epoch: 64, ADE: 2.0934, FDE: 4.8939
