Run: train_ngsim_40m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k12
epoch	train_loss	ADE	FDE
0	62.959442	2.1744	4.8547
1	14.965979	2.0210	4.5576
2	14.157765	2.5448	5.4253
3	13.285988	2.1829	4.8141
4	13.368708	2.1410	4.7879
5	12.909084	1.9547	4.5036
6	12.780066	2.0386	4.6689
7	12.646647	2.9172	6.1030
8	12.608527	1.9684	4.4167
9	12.369983	1.9131	4.4414
10	12.510725	2.2089	4.7735
11	12.158933	2.0556	4.6152
12	12.341450	1.9407	4.4530
13	12.161392	2.1817	4.8550
14	12.033825	1.9265	4.3820
15	12.031339	2.0312	4.5988
16	12.020372	2.2355	4.9137
17	11.982914	2.0135	4.5785
18	11.970423	3.1766	6.4860
19	12.044554	1.9548	4.4448
20	12.071710	2.0615	4.5926
21	12.041966	2.0696	4.6578
22	11.972651	1.9950	4.5189
23	12.016627	2.0289	4.5842
24	12.039763	1.9226	4.4548
25	12.011946	2.0307	4.5378
26	11.846789	2.2367	4.9113
27	11.978848	2.0441	4.5389
28	11.886881	1.9719	4.4839
29	11.791164	2.0672	4.6247
30	11.948428	2.1561	4.8325
31	11.974975	1.9483	4.4380
32	11.812545	2.1588	4.8368
33	11.785229	1.9494	4.4359
34	12.112119	1.9665	4.4407
35	11.795014	2.4536	5.3354
36	11.902430	2.5469	5.4035
37	11.905195	1.9190	4.3722
38	11.839125	1.9732	4.5055
39	11.822132	1.9233	4.4582
40	10.646487	1.8821	4.3303
41	10.549897	1.9712	4.4824
42	10.502983	1.8944	4.3582
43	10.477103	1.9930	4.4820
44	10.371491	1.8901	4.3307
45	10.368140	1.8796	4.3293
46	10.342844	1.8537	4.2903
47	10.320768	1.8568	4.2898
48	10.317851	1.8707	4.3125
49	10.284798	1.8657	4.2940
50	10.278451	1.8978	4.3471
51	10.244496	1.8690	4.2964
52	10.276700	1.8746	4.3086
53	10.237673	1.8701	4.2985
54	10.246360	1.8664	4.3115
55	10.229357	1.8544	4.2554
56	10.206878	1.8557	4.2998
57	10.202562	1.8853	4.3192
58	10.191079	1.8927	4.2994
59	10.153397	1.8574	4.2780
60	10.010966	1.8616	4.2933
61	10.024564	1.8738	4.3143
62	10.006013	1.8679	4.2924
63	10.006069	1.8648	4.2815
64	9.978789	1.8555	4.2746
65	9.987690	1.8562	4.2711
66	9.986402	1.8547	4.2770
67	9.960382	1.8555	4.2762
68	9.972752	1.8574	4.2745
69	9.951543	1.8628	4.2876
70	9.928935	1.8593	4.2795
71	9.927349	1.8588	4.2728
72	9.921766	1.8554	4.2768
73	9.923579	1.8610	4.2821
74	9.923033	1.8571	4.2749
75	9.934020	1.8607	4.2745
76	9.918909	1.8674	4.2838
77	9.912685	1.8670	4.2810
78	9.917795	1.8586	4.2757
79	9.917985	1.8572	4.2724

Best epoch: 46, ADE: 1.8537, FDE: 4.2903
