Run: train_ngsim_40m_oneshot_bezier_80ep_k16
epoch	train_loss	ADE	FDE
0	81.399219	10.8806	20.9209
1	28.512620	2.6521	5.8279
2	26.228428	2.8159	6.0216
3	25.334386	2.6625	5.8552
4	61.443740	10.6072	20.4833
5	164.988649	10.2731	19.7947
6	143.741710	10.5947	20.3869
7	142.683044	10.5851	20.3764
8	152.918798	10.4498	20.0755
9	171.091918	10.1167	19.5238
10	170.674241	10.5925	20.3678
11	170.656078	10.4094	20.0361
12	170.660649	10.4662	20.1393
13	170.555172	10.4759	20.1630
14	170.543200	9.3177	18.0887
15	81.194125	3.2444	6.6639
16	35.067699	3.7444	7.9723
17	21.674220	4.0833	8.4251
18	18.632053	4.2818	8.6763
19	17.574673	4.4177	8.8194
20	16.736887	4.5385	9.1248
21	16.729753	4.4537	8.8699
22	16.457618	4.6947	9.3126
23	16.338956	5.0090	10.0009
24	16.537440	4.3388	8.7700
25	16.886955	5.1752	10.3093
26	16.175728	5.0036	9.9838
27	16.169903	4.9032	9.6057
28	16.147245	4.8437	9.7048
29	16.223165	4.9427	9.8080
30	14.271982	5.0652	10.0929
31	14.061522	4.9425	9.9201
32	13.911520	4.9800	9.9753
33	13.844646	5.0085	10.0189
34	13.791251	4.9435	9.8995
35	13.709487	4.9000	9.8362
36	13.675255	4.9241	9.8640
37	13.653296	4.9603	9.9250
38	13.594813	5.0521	10.1092
39	13.625816	5.0141	10.0404
40	13.591019	5.0147	10.0279
41	13.562280	4.9785	9.9700
42	13.579668	4.8011	9.6622
43	13.552173	4.9546	9.8925
44	13.572476	4.8274	9.6970
45	13.371246	4.8792	9.7906
46	13.371223	4.9104	9.8502
47	13.368468	4.9381	9.8918
48	13.350276	4.8420	9.7339
49	13.352752	4.9006	9.8255
50	13.335517	4.9387	9.8993
51	13.325783	4.8869	9.8085
52	13.323324	4.8797	9.7963
53	13.329889	4.8794	9.7955
54	13.312259	4.8859	9.7961
55	13.308265	4.9523	9.9222
56	13.307087	4.8962	9.8204
57	13.287566	4.8618	9.7601
58	13.284591	4.8751	9.7852
59	13.293136	4.8865	9.8091
60	13.283734	4.8739	9.7865
61	13.281340	4.8450	9.7290
62	13.263554	4.8908	9.8141
63	13.265610	4.8952	9.8184
64	13.260306	4.8377	9.7134
65	13.275162	4.8798	9.7955
66	13.264057	4.8274	9.7019
67	13.256392	4.8481	9.7298
68	13.251137	4.8831	9.7911
69	13.247759	4.8609	9.7596
70	13.248658	4.8792	9.7848
71	13.245238	4.8178	9.6779
72	13.232087	4.8338	9.7070
73	13.220163	4.9109	9.8412
74	13.236479	4.8805	9.7841
75	13.225389	4.8852	9.7973
76	13.225618	4.8738	9.7751
77	13.214538	4.8708	9.7676
78	13.226045	4.8548	9.7410
79	13.242099	4.8911	9.8131

Best epoch: 1, ADE: 2.6521, FDE: 5.8279
