Run: train_ngsim_30m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k12
epoch	train_loss	ADE	FDE
0	70.245854	2.3390	5.1368
1	14.942391	2.1006	4.6861
2	13.791983	2.1150	4.7358
3	13.282409	1.9851	4.5523
4	12.900963	2.0699	4.7097
5	12.797357	2.0079	4.6051
6	12.352374	2.0354	4.6133
7	12.515062	2.2734	5.0341
8	11.926322	1.8844	4.4050
9	12.168631	1.8828	4.3731
10	12.192207	1.9246	4.4241
11	12.224491	2.0319	4.6225
12	12.183781	1.9682	4.5288
13	11.930105	1.9244	4.4113
14	12.186586	2.1536	4.8455
15	12.192398	2.0412	4.6524
16	12.057739	1.9009	4.4114
17	12.102601	1.9897	4.4549
18	12.115225	2.1367	4.7978
19	12.085752	2.2150	4.9358
20	11.973554	2.0034	4.5671
21	11.831093	1.8926	4.3810
22	11.849695	1.9188	4.4259
23	11.969824	1.9331	4.3939
24	11.806130	2.2901	5.0370
25	11.748093	2.0738	4.5925
26	11.780494	2.0425	4.6702
27	11.790260	1.8724	4.3418
28	11.845440	1.8994	4.3495
29	11.791883	1.9668	4.5067
30	11.808135	1.8857	4.3602
31	11.772676	1.8866	4.3623
32	11.771850	2.0777	4.6613
33	11.821915	2.1458	4.7700
34	11.880812	1.9415	4.4657
35	11.773087	2.0239	4.6139
36	11.910849	2.2115	4.7786
37	11.807862	1.9189	4.3917
38	11.808717	2.1654	4.8701
39	11.781485	1.9884	4.5101
40	10.640172	1.8994	4.3990
41	10.608741	1.8736	4.3459
42	10.524930	1.8938	4.3743
43	10.471634	1.8746	4.3341
44	10.516283	1.8546	4.2934
45	10.460219	1.8819	4.3502
46	10.430117	1.8780	4.3345
47	10.436922	1.8689	4.3218
48	10.379808	1.8692	4.3255
49	10.374772	1.8697	4.3131
50	10.349905	1.8627	4.3068
51	10.339642	1.8523	4.2816
52	10.326105	1.8761	4.3244
53	10.318232	1.8584	4.3005
54	10.327905	1.8499	4.2747
55	10.299614	1.8669	4.3188
56	10.296556	1.8833	4.3421
57	10.275468	1.8824	4.3421
58	10.288000	1.8505	4.2974
59	10.256781	1.8453	4.2580
60	10.097562	1.8548	4.2825
61	10.074049	1.8527	4.2763
62	10.068415	1.8455	4.2680
63	10.077627	1.8550	4.2859
64	10.085944	1.8532	4.2790
65	10.042510	1.8458	4.2645
66	10.066417	1.8630	4.3017
67	10.075687	1.8537	4.2843
68	10.059821	1.8691	4.3114
69	10.035392	1.8500	4.2800
70	10.020899	1.8532	4.2834
71	10.015937	1.8622	4.2996
72	10.012472	1.8551	4.2843
73	10.039810	1.8515	4.2789
74	10.022593	1.8597	4.2929
75	10.047040	1.8565	4.2891
76	10.035722	1.8555	4.2813
77	10.026414	1.8475	4.2695
78	10.008990	1.8519	4.2791
79	10.019395	1.8598	4.2932

Best epoch: 59, ADE: 1.8453, FDE: 4.2580
