Run: train_carolinas_eyelevel_30m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k16
epoch	train_loss	ADE	FDE
0	3610.324997	20.3680	69.7243
1	1799.078142	19.2411	64.6308
2	1485.784359	16.6342	55.3939
3	1308.197972	15.0144	46.4368
4	1248.989626	16.4790	53.5820
5	1215.742115	14.8436	45.5427
6	1182.538349	15.8238	50.2725
7	1152.915349	14.1586	45.0489
8	1129.204183	19.5532	65.3503
9	1137.026388	14.7801	48.8891
10	1113.481837	14.0329	44.6763
11	1115.339195	16.7396	55.1784
12	1111.676966	14.1187	47.7095
13	1103.199358	14.5291	48.9972
14	1092.519564	14.6532	51.0856
15	1085.609565	13.6805	41.8170
16	1086.515841	20.9807	69.9839
17	1084.903960	13.4272	40.3561
18	1073.074757	13.6015	41.4778
19	1078.177586	14.9104	50.2744
20	1096.022066	16.0833	54.9218
21	1087.850948	16.9209	57.5471
22	1079.101342	12.8789	41.9124
23	1070.982673	16.0830	52.5763
24	1069.582399	13.8075	43.0454
25	1065.218680	14.5193	44.6329
26	1062.153059	14.3080	44.9681
27	1055.722818	14.8323	49.3998
28	1064.022497	13.7349	44.5970
29	1053.317226	13.8164	43.0914
30	1061.218914	14.0997	44.2369
31	1063.235453	13.6105	43.5549
32	1061.346543	14.5197	47.7027
33	1059.018653	14.6547	48.9246
34	1047.365760	16.9196	58.5427
35	1068.581040	12.9195	41.2590
36	1058.880339	15.1009	52.7040
37	1046.186304	15.2637	49.6049
38	1056.809103	13.3338	44.5061
39	1048.582880	13.2574	41.4127
40	932.397485	12.1938	38.3750
41	915.067584	12.4312	41.2390
42	916.507402	12.1899	39.1573
43	905.461427	12.1435	39.6813
44	906.078732	12.0775	39.4588
45	900.326293	11.8313	39.4758
46	896.678640	11.7577	38.3607
47	890.604659	11.9425	39.0260
48	885.814486	12.0293	38.3097
49	884.988915	12.2856	39.0535
50	878.064078	11.9487	37.8518
51	871.873291	12.0932	38.6184
52	872.783993	11.9569	38.2883
53	872.362945	11.9438	39.1877
54	872.507268	12.0347	39.3671
55	868.287767	11.8855	38.6474
56	862.145750	11.9252	38.2879
57	858.821656	12.1781	39.7946
58	856.159896	11.8505	38.0348
59	868.817589	11.9448	39.9591
60	847.126037	11.9191	38.4139
61	846.729117	11.9027	38.5716
62	834.001830	11.6440	37.7532
63	833.204999	12.1361	39.2571
64	841.555561	11.8537	38.8431
65	840.457027	11.7199	37.8690
66	831.652704	11.6967	37.4351
67	834.105965	11.7967	38.4641
68	834.749220	11.9813	39.1040
69	838.157767	12.3126	39.6993
70	828.605220	11.7204	37.4900
71	839.391854	11.7906	37.9783
72	830.256111	11.7673	37.7143
73	827.768527	11.6380	37.3140
74	835.184209	11.6694	37.4353
75	829.134358	12.3897	39.9559
76	831.881657	11.9268	38.3228
77	828.460215	11.7970	38.0019
78	829.574976	11.7500	37.8189
79	832.866823	11.5806	37.1888

Best epoch: 79, ADE: 11.5806, FDE: 37.1888
