Run: train_ngsim_40m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k8
epoch	train_loss	ADE	FDE
0	66.719890	2.1180	4.8204
1	16.188342	2.1444	4.8363
2	15.048779	2.3908	5.2726
3	14.747306	2.2100	4.9868
4	14.165181	2.3967	5.2924
5	13.701296	2.5196	5.3452
6	13.705455	1.9796	4.4978
7	13.618118	1.9633	4.5505
8	13.441178	1.9585	4.5074
9	13.412949	2.3467	5.1822
10	13.439580	2.0681	4.7133
11	13.235905	2.2116	4.9658
12	12.941373	2.1882	4.7786
13	12.917439	2.1754	4.9126
14	12.798777	1.9128	4.4524
15	12.493005	1.9640	4.4621
16	12.682736	2.2803	5.0419
17	12.484993	1.9820	4.5624
18	12.468741	1.9822	4.5706
19	12.207347	1.9647	4.4934
20	12.251637	1.9182	4.4347
21	12.068449	2.0190	4.6105
22	12.060552	2.0232	4.6280
23	12.032342	2.0998	4.7595
24	12.031574	2.0748	4.7361
25	11.843876	1.9586	4.5109
26	12.099481	1.9476	4.4947
27	11.981208	1.9759	4.5666
28	11.984360	1.9305	4.4729
29	11.909974	2.0050	4.6249
30	11.891075	1.9410	4.5306
31	11.910815	1.9948	4.5576
32	11.817828	2.0127	4.5900
33	11.897177	2.2049	4.8908
34	11.867170	1.9933	4.5680
35	11.810477	1.9824	4.4999
36	11.918555	1.9312	4.4558
37	11.718767	2.0430	4.6967
38	11.767774	1.9027	4.4335
39	11.807449	1.9525	4.5196
40	10.972477	1.9137	4.4248
41	10.909113	1.9430	4.5002
42	10.856490	1.9729	4.5426
43	10.855105	1.9485	4.5139
44	10.824079	1.9144	4.4450
45	10.756807	1.9041	4.3945
46	10.739149	1.9023	4.3923
47	10.725573	1.9092	4.4178
48	10.672695	1.9038	4.4252
49	10.646568	1.9283	4.4616
50	10.651977	1.8807	4.3594
51	10.628469	1.9660	4.5338
52	10.580699	1.8930	4.3729
53	10.544971	1.8752	4.3531
54	10.542954	1.8991	4.4002
55	10.520045	1.9252	4.4493
56	10.500457	1.8992	4.3996
57	10.504283	1.8777	4.3640
58	10.521313	1.9263	4.4596
59	10.479570	1.9201	4.4351
60	10.331306	1.8969	4.4046
61	10.324482	1.8884	4.3838
62	10.322239	1.8887	4.3853
63	10.309815	1.8885	4.3826
64	10.293696	1.8849	4.3816
65	10.289725	1.8944	4.3983
66	10.285157	1.8980	4.3964
67	10.274259	1.8805	4.3658
68	10.279946	1.8871	4.3823
69	10.263506	1.8948	4.3902
70	10.254820	1.8960	4.3939
71	10.237790	1.8852	4.3731
72	10.245508	1.8848	4.3747
73	10.252017	1.8831	4.3705
74	10.259948	1.8769	4.3594
75	10.233136	1.8834	4.3705
76	10.238628	1.8921	4.3853
77	10.252382	1.8868	4.3775
78	10.235280	1.8882	4.3773
79	10.232283	1.8994	4.3986

Best epoch: 53, ADE: 1.8752, FDE: 4.3531
