Run: train_ngsim_20m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k8
epoch	train_loss	ADE	FDE
0	62.754615	2.1969	5.0786
1	14.369386	2.3500	5.2778
2	13.935915	2.0802	4.8560
3	13.847825	2.0802	4.8626
4	13.704754	2.0820	4.8987
5	13.585381	2.1669	5.0139
6	13.518112	2.0793	4.8940
7	13.509976	2.2732	5.2169
8	13.439685	2.2300	5.1024
9	13.426499	2.1866	5.0976
10	13.401680	2.0997	4.9290
11	13.383390	2.0854	4.8993
12	13.411294	2.2879	5.2281
13	13.357930	2.2945	5.2612
14	13.332360	2.1404	5.0213
15	13.381425	2.1555	5.0312
16	13.351563	2.1979	5.0945
17	13.327097	2.2016	5.0909
18	13.412262	2.1194	4.9545
19	13.334157	2.1122	4.9593
20	13.330521	2.1352	4.9556
21	13.313472	2.2117	5.1505
22	13.279573	2.0703	4.8905
23	13.324421	2.2139	5.0986
24	13.342957	2.1755	5.0934
25	13.294861	2.1183	4.9683
26	13.289951	2.0919	4.9392
27	13.271724	2.0599	4.8814
28	13.305276	2.0638	4.8964
29	13.310983	2.0561	4.8851
30	13.291994	2.3306	5.2656
31	13.280741	2.0781	4.8963
32	13.270688	2.0290	4.8233
33	13.268430	2.2996	5.2514
34	13.262542	2.0865	4.9400
35	13.217378	1.9980	4.7827
36	13.210825	2.0586	4.8848
37	13.225534	2.1166	4.9758
38	13.244451	2.1155	4.9742
39	13.255394	2.2422	5.1621
40	12.886346	2.0921	4.9527
41	12.875721	2.0780	4.9318
42	12.863611	2.0600	4.9007
43	12.859578	2.0835	4.9402
44	12.860167	2.0963	4.9617
45	12.855853	2.0825	4.9382
46	12.835604	2.0772	4.9225
47	12.837991	2.1364	5.0126
48	12.834140	2.0681	4.9096
49	12.837362	2.0712	4.9212
50	12.826480	2.0780	4.9326
51	12.814721	2.1266	5.0093
52	12.820768	2.0739	4.9167
53	12.815224	2.0311	4.8498
54	12.811129	2.1159	4.9847
55	12.811201	2.0636	4.9012
56	12.806836	2.0712	4.9242
57	12.753175	2.0683	4.9076
58	12.722686	2.0515	4.8858
59	12.692956	2.0997	4.9545
60	12.615028	2.0684	4.9098
61	12.620566	2.0750	4.9159
62	12.601981	2.0812	4.9259
63	12.604792	2.0706	4.9016
64	12.593295	2.0709	4.9080
65	12.550216	2.0841	4.9238
66	12.520940	2.0991	4.9388
67	12.478626	2.1048	4.9512
68	12.447981	2.1265	4.9829
69	12.414562	2.1202	4.9683
70	12.366080	2.0821	4.9071
71	12.368128	2.1001	4.9363
72	12.357258	2.0840	4.9103
73	12.355148	2.0978	4.9316
74	12.346125	2.0893	4.9169
75	12.343846	2.0769	4.8958
76	12.343486	2.0801	4.9012
77	12.330115	2.0900	4.9173
78	12.320694	2.1125	4.9534
79	12.321316	2.0740	4.8899

Best epoch: 35, ADE: 1.9980, FDE: 4.7827
