Run: train_ngsim_30m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k8
epoch	train_loss	ADE	FDE
0	65.051140	2.3453	5.1447
1	15.233207	2.2861	5.0745
2	13.979979	2.4995	5.2729
3	13.249869	2.4974	5.3839
4	12.956497	2.0460	4.6935
5	12.942591	2.0104	4.6278
6	12.954449	2.1121	4.7734
7	12.587494	1.9281	4.4461
8	12.683572	1.9983	4.5821
9	12.370513	1.9723	4.5635
10	12.264028	2.0129	4.5892
11	12.252401	1.9910	4.5869
12	12.001685	1.8855	4.3692
13	12.125812	2.1135	4.7723
14	12.141779	1.9516	4.5035
15	11.969550	2.0934	4.7230
16	11.982478	2.1788	4.8087
17	11.845815	2.0679	4.6402
18	11.687726	2.1628	4.8408
19	11.772176	2.0707	4.6805
20	11.491788	1.9850	4.5831
21	11.604785	1.9662	4.4959
22	11.545168	1.9534	4.4997
23	11.482160	2.0799	4.7221
24	11.558215	1.9750	4.5547
25	11.675189	2.1217	4.7477
26	11.372039	2.0611	4.6922
27	11.515346	2.0484	4.6819
28	11.420859	1.9012	4.4308
29	11.552986	1.9693	4.5297
30	11.477298	2.5140	5.3816
31	11.461630	2.0282	4.6184
32	11.301210	2.0254	4.6695
33	11.512457	1.8735	4.3759
34	11.490082	1.9774	4.5145
35	11.440146	2.0182	4.6423
36	11.365019	1.9484	4.4973
37	11.380296	2.0580	4.6978
38	11.307680	1.9312	4.4762
39	11.441839	2.0289	4.6307
40	10.573034	1.9023	4.4233
41	10.514895	1.8825	4.3842
42	10.473810	1.8789	4.3661
43	10.440559	1.8805	4.3673
44	10.389751	1.8959	4.4096
45	10.338422	1.8852	4.3651
46	10.326835	1.8654	4.3538
47	10.313514	1.8710	4.3417
48	10.297771	1.8844	4.3704
49	10.251570	1.9040	4.4037
50	10.247858	1.8621	4.3380
51	10.210304	1.8536	4.3180
52	10.219768	1.8821	4.3741
53	10.224136	1.9536	4.4832
54	10.190387	1.8767	4.3463
55	10.191397	1.8524	4.3184
56	10.195409	1.8667	4.3435
57	10.174490	1.8680	4.3489
58	10.162453	1.8850	4.3650
59	10.134278	1.8585	4.3274
60	10.028288	1.8628	4.3406
61	10.021860	1.8632	4.3365
62	10.016796	1.8619	4.3310
63	10.004796	1.8765	4.3593
64	10.014473	1.8599	4.3277
65	10.006413	1.8567	4.3183
66	10.018546	1.8545	4.3236
67	10.008810	1.8719	4.3501
68	10.006170	1.8644	4.3397
69	10.007701	1.8553	4.3238
70	9.986089	1.8635	4.3372
71	9.972132	1.8622	4.3355
72	9.983850	1.8637	4.3375
73	9.976887	1.8579	4.3242
74	9.984218	1.8638	4.3391
75	9.983625	1.8709	4.3484
76	9.985682	1.8572	4.3226
77	9.979303	1.8640	4.3383
78	9.973333	1.8591	4.3297
79	9.974054	1.8624	4.3290

Best epoch: 55, ADE: 1.8524, FDE: 4.3184
