Run: train_carolinas_highAngle_20m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k16
epoch	train_loss	ADE	FDE
0	4352.870035	27.7438	93.6733
1	2038.960645	21.8149	67.6899
2	1893.186358	20.9702	71.6905
3	1826.167902	21.5914	69.6817
4	1800.975040	20.1841	66.2132
5	1777.114217	21.9578	66.4742
6	1759.233823	21.2888	71.9468
7	1756.538782	19.3902	62.9317
8	1751.524959	20.8835	65.7829
9	1739.447995	20.4260	65.0980
10	1723.411499	21.6879	69.3057
11	1724.394869	22.1350	75.2363
12	1716.532937	19.6708	63.4296
13	1720.635359	21.6111	68.8377
14	1730.411006	19.9368	62.5025
15	1701.916405	21.5145	73.7861
16	1702.323134	20.2648	64.2464
17	1685.954382	20.1074	68.3954
18	1709.358577	20.3692	63.3617
19	1697.384905	22.0663	75.2683
20	1689.138260	21.3320	75.0843
21	1685.218466	23.2808	80.1956
22	1692.376822	20.3724	66.1821
23	1699.962513	20.5296	63.9139
24	1688.666029	19.5198	65.2978
25	1687.693691	19.6915	67.2530
26	1669.522391	20.5828	63.3538
27	1677.453213	19.4608	64.3269
28	1679.708347	20.8097	70.5785
29	1675.461223	22.9123	71.2589
30	1681.725618	19.7038	64.8289
31	1676.158686	20.2144	64.9033
32	1677.964941	22.1969	69.2752
33	1679.591264	20.1691	66.8041
34	1665.965894	22.1475	75.4484
35	1670.061639	19.7993	64.5259
36	1662.532785	23.7662	80.7528
37	1668.374816	19.7463	61.8168
38	1670.417973	23.6565	81.9648
39	1663.355926	21.8949	68.4803
40	1539.345482	18.9085	61.0299
41	1521.685270	18.7879	59.9037
42	1510.388757	18.9746	62.5648
43	1497.894593	18.7711	60.3637
44	1495.621116	18.8088	61.2347
45	1497.398163	18.9449	61.9224
46	1494.968341	18.7928	61.1941
47	1487.190724	18.6423	59.8781
48	1469.754257	18.5598	59.5667
49	1481.104612	18.7084	59.6477
50	1467.318710	18.8711	62.3411
51	1460.385461	18.5278	59.9055
52	1463.061570	18.7038	59.1881
53	1461.526259	18.8138	60.4633
54	1448.858690	18.7418	60.1186
55	1460.112256	18.4688	59.6619
56	1453.812506	18.7947	61.1365
57	1448.040996	18.5388	60.6749
58	1442.508477	18.4878	59.9259
59	1446.583526	18.4910	60.1532
60	1410.055079	18.4906	59.6042
61	1410.411374	18.5225	59.7240
62	1411.001323	18.3896	58.8859
63	1413.141705	18.4524	59.1640
64	1411.039035	18.3845	59.0257
65	1407.806702	18.3816	58.6565
66	1411.497324	18.9390	62.2769
67	1406.556569	18.6375	60.2988
68	1405.646551	18.4168	58.6128
69	1403.878307	18.4859	59.2276
70	1398.038606	18.4530	59.1947
71	1404.921871	18.4831	59.3740
72	1408.500017	18.3924	58.7037
73	1403.874789	18.3648	58.6714
74	1407.149675	18.5151	59.4756
75	1404.647173	18.3587	58.4971
76	1403.621174	18.3610	58.4931
77	1398.982083	18.3802	58.9002
78	1394.753395	18.4940	59.4549
79	1395.037808	18.4855	59.4481

Best epoch: 75, ADE: 18.3587, FDE: 58.4971
