Run: train_ngsim_20m_oneshot_bezier_80ep_residual_v2_tcn_5hz_k12
epoch	train_loss	ADE	FDE
0	64.325873	2.0396	4.7008
1	14.030657	2.0713	4.6616
2	13.204871	1.9865	4.5468
3	12.887197	1.9501	4.4794
4	12.626018	2.1047	4.7515
5	12.521671	1.9179	4.3947
6	12.202826	1.9824	4.5344
7	12.068394	2.0407	4.6862
8	12.043098	2.1164	4.6929
9	11.999933	1.9813	4.5472
10	11.908621	1.9472	4.4765
11	12.009742	2.0563	4.6887
12	11.946901	1.9335	4.4891
13	11.864023	2.1855	4.9191
14	11.891716	2.5048	5.4179
15	11.895489	1.9186	4.4613
16	11.800962	1.9594	4.5696
17	11.692423	1.9036	4.4530
18	11.556993	1.9094	4.4867
19	11.715450	1.9592	4.4868
20	11.538832	1.9447	4.5277
21	11.519607	1.9017	4.3996
22	11.639027	1.9203	4.4545
23	11.472589	1.9513	4.5386
24	11.508576	1.9031	4.4446
25	11.514604	1.9694	4.5861
26	11.512550	1.8829	4.3980
27	11.372831	2.0345	4.5340
28	11.438499	2.1234	4.8049
29	11.393473	2.0173	4.6238
30	11.357189	1.9199	4.4384
31	11.377372	2.0476	4.6403
32	11.290882	1.9188	4.4544
33	11.355299	1.9181	4.4140
34	11.401896	1.9053	4.3993
35	11.340101	1.9143	4.4336
36	11.294600	1.9146	4.4407
37	11.343056	1.9443	4.4782
38	11.305955	2.0739	4.7066
39	11.319755	2.0162	4.6398
40	10.551879	1.8945	4.4117
41	10.449740	1.8814	4.3915
42	10.418393	1.8903	4.3930
43	10.370037	1.9308	4.4660
44	10.327014	1.9015	4.4113
45	10.317152	1.8725	4.3399
46	10.280430	1.8780	4.3852
47	10.257280	1.8608	4.3312
48	10.239790	1.9054	4.4195
49	10.225875	1.8682	4.3383
50	10.221933	1.8806	4.3633
51	10.199203	1.8807	4.3857
52	10.167335	1.8621	4.3353
53	10.172040	1.8585	4.3211
54	10.159736	1.8522	4.2998
55	10.139690	1.9043	4.4091
56	10.136111	1.8574	4.3390
57	10.117748	1.8660	4.3447
58	10.126219	1.8607	4.3113
59	10.099588	1.8962	4.3855
60	9.984913	1.8669	4.3445
61	9.969033	1.8633	4.3303
62	9.975852	1.8685	4.3419
63	9.972298	1.8606	4.3219
64	9.958450	1.8736	4.3483
65	9.957891	1.8664	4.3323
66	9.954701	1.8687	4.3440
67	9.955711	1.8679	4.3316
68	9.951811	1.8743	4.3480
69	9.946199	1.8591	4.3227
70	9.938242	1.8713	4.3380
71	9.936528	1.8673	4.3344
72	9.924178	1.8668	4.3308
73	9.923891	1.8721	4.3455
74	9.931030	1.8692	4.3397
75	9.929059	1.8670	4.3370
76	9.921582	1.8634	4.3321
77	9.924421	1.8630	4.3302
78	9.912630	1.8674	4.3376
79	9.925556	1.8669	4.3382

Best epoch: 54, ADE: 1.8522, FDE: 4.2998
